date,day_of_week,day_of_week_code,is_weekend,month, season_code ,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sunday,monday,tuesday,wednesday,thursday,friday,saturday
3/18/2015,Wednesday,4,0,3,2,19,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/19/2015,Thursday,5,0,3,2,16,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/20/2015,Friday,6,1,3,2,40,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/21/2015,Saturday,7,1,3,2,76,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/22/2015,Sunday,1,0,3,2,30,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3/23/2015,Monday,2,0,3,2,18,72,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3/24/2015,Tuesday,3,0,3,2,23,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/25/2015,Wednesday,4,0,3,2,26,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/26/2015,Thursday,5,0,3,2,33,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3/27/2015,Friday,6,1,3,2,78,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/28/2015,Saturday,7,1,3,2,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3/29/2015,Sunday,1,0,3,2,29,61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3/30/2015,Monday,2,0,3,2,33,57,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3/31/2015,Tuesday,3,0,3,2,28,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4/1/2015,Wednesday,4,0,4,2,29,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/2/2015,Thursday,5,0,4,2,45,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4/3/2015,Friday,6,1,4,2,63,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4/4/2015,Saturday,7,1,4,2,75,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4/5/2015,Sunday,1,0,4,2,23,67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4/6/2015,Monday,2,0,4,2,41,49,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4/7/2015,Tuesday,3,0,4,2,50,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4/8/2015,Wednesday,4,0,4,2,40,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/9/2015,Thursday,5,0,4,2,57,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4/10/2015,Friday,6,1,4,2,84,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4/11/2015,Saturday,7,1,4,2,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4/12/2015,Sunday,1,0,4,2,24,66,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4/13/2015,Monday,2,0,4,2,30,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4/14/2015,Tuesday,3,0,4,2,32,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4/15/2015,Wednesday,4,0,4,2,40,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/16/2015,Thursday,5,0,4,2,51,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4/17/2015,Friday,6,1,4,2,86,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4/18/2015,Saturday,7,1,4,2,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4/19/2015,Sunday,1,0,4,2,42,48,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4/20/2015,Monday,2,0,4,2,24,66,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4/21/2015,Tuesday,3,0,4,2,27,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
